## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics INPUT=data/SEQC-II_Normal-ready.bam OUTPUT=data/SEQC-II_Normal-ready_wgs_metrics.txt MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=10 COVERAGE_CAP=250 REFERENCE_SEQUENCE=reference_data/genomes/hg38.fa    LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] USE_FAST_ALGORITHM=false READ_LENGTH=150 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jun 30 02:12:20 UTC 2022

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
3043453562	0.0069	0.596133	0	0	0.000001	0.000471	0.116561	0.000258	0.000923	0.015169	0	0.133385	0.000139	0.000139	0.000139	0.000139	0.000138	0.000137	0.000135	0.000119	0.000073	0.00002	0.000002	0	0	0	?	?	?	0.000139	0

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	3043029161
1	23
2	44
3	43
4	59
5	68
6	83
7	108
8	157
9	136
10	120
11	104
12	154
13	221
14	208
15	254
16	346
17	438
18	462
19	445
20	514
21	548
22	694
23	686
24	867
25	1078
26	1305
27	1599
28	1869
29	2139
30	2333
31	2717
32	3078
33	3438
34	3784
35	4449
36	5301
37	5880
38	6823
39	8158
40	9293
41	9834
42	11198
43	12756
44	13957
45	14831
46	16363
47	17135
48	17732
49	18043
50	18540
51	18484
52	18110
53	18423
54	17613
55	16504
56	14998
57	13878
58	12563
59	11399
60	9887
61	8975
62	8040
63	6942
64	6015
65	4747
66	3983
67	3028
68	2356
69	1802
70	1560
71	1208
72	972
73	719
74	477
75	307
76	272
77	191
78	124
79	72
80	55
81	54
82	61
83	48
84	23
85	10
86	6
87	4
88	11
89	25
90	12
91	9
92	3
93	3
94	2
95	8
96	3
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0

