## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics INPUT=data/SEQC-II_Tumor_50pc-ready.bam OUTPUT=data/SEQC-II_Tumor_50pc-ready_wgs_metrics.txt MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=10 COVERAGE_CAP=250 REFERENCE_SEQUENCE=reference_data/genomes/hg38.fa    LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] USE_FAST_ALGORITHM=false READ_LENGTH=150 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jun 30 02:18:54 UTC 2022

## METRICS CLASS	picard.analysis.WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	FOLD_80_BASE_PENALTY	FOLD_90_BASE_PENALTY	FOLD_95_BASE_PENALTY	HET_SNP_SENSITIVITY	HET_SNP_Q
3043453562	0.010897	0.964702	0	0	0.000007	0.000519	0.20706	0.000208	0.000957	0.013271	0	0.222022	0.000139	0.000139	0.000139	0.000139	0.000139	0.000139	0.000138	0.000133	0.000121	0.00011	0.000091	0.000064	0.000039	0.000025	?	?	?	0.000139	0

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	3043029149
1	18
2	10
3	36
4	26
5	34
6	56
7	31
8	42
9	52
10	58
11	47
12	40
13	58
14	62
15	79
16	105
17	110
18	87
19	129
20	133
21	143
22	175
23	311
24	430
25	477
26	479
27	563
28	560
29	628
30	767
31	817
32	1022
33	1234
34	1313
35	1774
36	1833
37	1983
38	2363
39	2590
40	2916
41	3315
42	3624
43	3642
44	3569
45	3722
46	3661
47	3548
48	3511
49	3446
50	3650
51	3623
52	3411
53	3318
54	3305
55	3314
56	3369
57	3569
58	3616
59	3594
60	4146
61	4481
62	4692
63	4931
64	5400
65	5736
66	5966
67	6310
68	6788
69	7125
70	7283
71	7395
72	7766
73	7823
74	8171
75	8740
76	9249
77	9042
78	9154
79	9173
80	8857
81	8848
82	8614
83	8045
84	7861
85	7208
86	7133
87	6767
88	6337
89	5858
90	5513
91	5169
92	4798
93	4522
94	4186
95	3984
96	3912
97	3633
98	3329
99	3185
100	3107
101	2888
102	2620
103	2618
104	2419
105	2462
106	2482
107	2525
108	2610
109	2697
110	2660
111	2773
112	2732
113	2676
114	2664
115	2666
116	2610
117	2506
118	2429
119	2337
120	2199
121	2169
122	2108
123	1975
124	1807
125	1635
126	1584
127	1515
128	1361
129	1160
130	1049
131	888
132	778
133	673
134	564
135	456
136	413
137	358
138	336
139	261
140	242
141	182
142	145
143	108
144	119
145	84
146	65
147	30
148	26
149	17
150	9
151	21
152	18
153	28
154	9
155	4
156	5
157	3
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	0
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0

